country,week,cases,log_cum_cases,first_diff_log_cases,week_count
Afghanistan,-3,158300,11.972247245869104,NA,0
Afghanistan,-2,158639,11.974386459593376,0.002139213724271727,1
Afghanistan,-1,159516,11.9798995096556,0.005513050062223357,2
Afghanistan,0,161057,11.989513618577275,0.009614108921676134,3
Afghanistan,1,165358,12.015868099459091,0.02635448088181569,4
Afghanistan,2,169940,12.043200712557532,0.027332613098440817,5
Afghanistan,3,171857,12.054418014645961,0.011217302088429193,6
Afghanistan,4,173084,12.061532304772028,0.007114290126066791,7
Afghanistan,5,174214,12.068039707565054,0.006507402793026529,8
Afghanistan,6,175974,12.078091535834814,0.010051828269759255,9
Afghanistan,7,176983,12.083808961745591,0.005717425910777507,10
Afghanistan,8,177321,12.085716928364857,0.001907966619265622,11
Afghanistan,9,177782,12.088313359591764,0.0025964312269071144,12
Afghanistan,10,177974,12.089392751189608,0.0010793915978446478,13
Afghanistan,11,178373,12.091632142382712,0.0022393911931040122,14
Afghanistan,12,178638,12.093116690750517,0.001484548367804095,15
Afghanistan,13,178873,12.09443133580393,0.0013146450534140541,16
Afghanistan,14,178919,12.094688468441069,2.571326371381133e-4,17
Afghanistan,15,179203,12.096274520454266,0.001586052013196948,18
Afghanistan,16,179624,12.098621056212037,0.0023465357577716617,19
Afghanistan,17,180086,12.101189793550665,0.0025687373386276136,20
Afghanistan,18,180584,12.103951322463415,0.002761528912749611,21
Afghanistan,19,180864,12.105500646604145,0.0015493241407309455,22
Afghanistan,20,181534,12.109198242967068,0.0036975963629224395,23
Afghanistan,21,182033,12.111943268304005,0.0027450253369369904,24
Afghanistan,22,182594,12.115020387895589,0.0030771195915839655,25
Afghanistan,23,183221,12.118448353473747,0.0034279655781581653,26
Afghanistan,24,183407,12.119463006015055,0.0010146525413077256,27
Afghanistan,25,184360,12.124645646834445,0.005182640819390016,28
Afghanistan,26,185481,12.130707729907728,0.006062083073283375,29
Afghanistan,27,187037,12.139061737227392,0.008354007319663737,30
Afghanistan,28,188704,12.14793492880023,0.008873191572838834,31
Afghanistan,29,190254,12.15611530047006,0.008180371669828546,32
Afghanistan,30,191967,12.165078761237718,0.008963460767658304,33
Afghanistan,31,193520,12.173136145283909,0.008057384046191274,34
Afghanistan,32,195471,12.18316730980854,0.01003116452463182,35
Afghanistan,33,196992,12.190918397758496,0.007751087949955604,36
Afghanistan,34,198163,12.196845203330032,0.005926805571535354,37
Afghanistan,35,199188,12.20200438135422,0.0051591780241881935,38
Afghanistan,36,200130,12.20672243437167,0.00471805301745043,39
Afghanistan,37,201014,12.211129836356937,0.004407401985266901,40
Afghanistan,38,201949,12.215770469258576,0.0046406329016388526,41
Afghanistan,39,202756,12.219758564634738,0.003988095376161738,42
Afghanistan,40,203497,12.22340654174138,0.0036479771066417754,43
Afghanistan,41,204392,12.227794997602489,0.004388455861109364,44
Afghanistan,42,205009,12.230809159595886,0.003014161993396769,45
Afghanistan,43,205541,12.233400806400274,0.0025916468043885033,46
Afghanistan,44,206133,12.236276870509606,0.002876064109331722,47
Afghanistan,45,206504,12.238075061655667,0.0017981911460616118,48
Afghanistan,46,206912,12.240048861085105,0.0019737994294377614,49
Afghanistan,47,157878,11.969577861847545,-0.2704709992375598,50
Afghanistan,48,158056,11.970704679593242,0.0011268177456962292,51
Afghanistan,49,158084,11.970881816305287,1.7713671204511172e-4,52
Albania,-3,214905,12.277951348995582,NA,0
Albania,-2,228777,12.340503008959331,0.06255165996374856,1
Albania,-1,244182,12.405669127868311,0.06516611890898005,2
Albania,0,254126,12.44558548599423,0.039916358125918094,3
Albania,1,263172,12.480563089795506,0.03497760380127701,4
Albania,2,267020,12.495078840944085,0.01451575114857917,5
Albania,3,269601,12.504698367212223,0.009619526268137335,6
Albania,4,271141,12.510394259758172,0.005695892545949377,7
Albania,5,272030,12.513667633313833,0.003273373555661152,8
Albania,6,272552,12.515584700568603,0.0019170672547694778,9
Albania,7,272961,12.517084206819186,0.0014995062505835932,10
Albania,8,273318,12.518391231437823,0.0013070246186366319,11
